Number of Genomes,10,15,30,50,70,200,400,600,800,1000
,,,,,,GCA__000332665.1,GCA__000332665.1,GCA_000332665.1,GCA_000332665.1,GCA_000332665.1
,,,,,,GCA__000332685.1,GCA__000332685.1,GCA_000332685.1,GCA_000332685.1,GCA_000332685.1
,,,,,,GCA__000336275.1,GCA__000336275.1,GCA_000336275.1,GCA_000336275.1,GCA_000336275.1
,,,,,,GCA__000336295.1,GCA__000336295.1,GCA_000336295.1,GCA_000336295.1,GCA_000336295.1
,,,,,,GCA__000336315.1,GCA__000336315.1,GCA_000336315.1,GCA_000336315.1,GCA_000336315.1
,,,,,,GCA__000336335.1,GCA__000336335.1,GCA_000336335.1,GCA_000336335.1,GCA_000336335.1
,,,,,,GCA__000336515.1,GCA__000336515.1,GCA_000336515.1,GCA_000336515.1,GCA_000336515.1
,,,,,,GCA__000336595.1,GCA__000336595.1,GCA_000336595.1,GCA_000336595.1,GCA_000336595.1
,,,,,,,GCA__000350425.2,GCA_000350425.2,GCA_000350425.2,GCA_000350425.2
,,,,,,,GCA__000359665.1,GCA_000359665.1,GCA_000359665.1,GCA_000359665.1
,,,,,,,GCA__000359765.1,GCA_000359765.1,GCA_000359765.1,GCA_000359765.1
,,,,,,,GCA__000359785.1,GCA_000359785.1,GCA_000359785.1,GCA_000359785.1
,,,,,,,GCA__000359805.1,GCA_000359805.1,GCA_000359805.1,GCA_000359805.1
,,,,,,,GCA__000359825.1,GCA_000359825.1,GCA_000359825.1,GCA_000359825.1
,,,,,,,GCA__000359845.1,GCA_000359845.1,GCA_000359845.1,GCA_000359845.1
,,,,,,,GCA__000359865.1,GCA_000359865.1,GCA_000359865.1,GCA_000359865.1
,,,,,,,GCA__000359885.1,GCA_000359885.1,GCA_000359885.1,GCA_000359885.1
,,,,,,,GCA__000359905.1,GCA_000359905.1,GCA_000359905.1,GCA_000359905.1
,,,,,,,GCA__000359925.1,GCA_000359925.1,GCA_000359925.1,GCA_000359925.1
,,,,,,,GCA__000359945.1,GCA_000359945.1,GCA_000359945.1,GCA_000359945.1
,,,,,,,GCA__000359965.1,GCA_000359965.1,GCA_000359965.1,GCA_000359965.1
,,,,,,,GCA__000359985.1,GCA_000359985.1,GCA_000359985.1,GCA_000359985.1
,,,,,,,GCA__000360005.1,GCA_000360005.1,GCA_000360005.1,GCA_000360005.1
,,,,,,,GCA__000360025.1,GCA_000360025.1,GCA_000360025.1,GCA_000360025.1
,,,,,,,GCA__000360045.1,GCA_000360045.1,GCA_000360045.1,GCA_000360045.1
,,,,,,,GCA__000360065.1,GCA_000360065.1,GCA_000360065.1,GCA_000360065.1
,,,,,,,GCA__000360085.1,GCA_000360085.1,GCA_000360085.1,GCA_000360085.1
,,,,,,,GCA__000360105.1,GCA_000360105.1,GCA_000360105.1,GCA_000360105.1
,,,,,,,GCA__000360125.1,GCA_000360125.1,GCA_000360125.1,GCA_000360125.1
,,,,,,,GCA__000360145.1,GCA_000360145.1,GCA_000360145.1,GCA_000360145.1
,,,,,,,GCA__000360165.1,GCA_000360165.1,GCA_000360165.1,GCA_000360165.1
,,,,,,,GCA__000360185.1,GCA_000360185.1,GCA_000360185.1,GCA_000360185.1
,,,,,,,GCA__000360205.1,GCA_000360205.1,GCA_000360205.1,GCA_000360205.1
,,,,,,,GCA__000360225.1,GCA_000360225.1,GCA_000360225.1,GCA_000360225.1
,,,,,,,GCA__000360245.1,GCA_000360245.1,GCA_000360245.1,GCA_000360245.1
,,,,,,,GCA__000360265.1,GCA_000360265.1,GCA_000360265.1,GCA_000360265.1
,,,,,,,GCA__000360285.1,GCA_000360285.1,GCA_000360285.1,GCA_000360285.1
,,,,,,,GCA__000360305.1,GCA_000360305.1,GCA_000360305.1,GCA_000360305.1
,,,,,,,GCA__000360325.1,GCA_000360325.1,GCA_000360325.1,GCA_000360325.1
,,,,,,,GCA__000360345.1,GCA_000360345.1,GCA_000360345.1,GCA_000360345.1
,,,,,,,GCA__000360365.1,GCA_000360365.1,GCA_000360365.1,GCA_000360365.1
,,,,,,,GCA__000360385.1,GCA_000360385.1,GCA_000360385.1,GCA_000360385.1
,,,,,,,GCA__000360405.1,GCA_000360405.1,GCA_000360405.1,GCA_000360405.1
,,,,,,,GCA__000360425.1,GCA_000360425.1,GCA_000360425.1,GCA_000360425.1
,,,,,,,GCA__000360445.1,GCA_000360445.1,GCA_000360445.1,GCA_000360445.1
,,,,,,,GCA__000360465.1,GCA_000360465.1,GCA_000360465.1,GCA_000360465.1
,,,,,,,GCA__000360485.1,GCA_000360485.1,GCA_000360485.1,GCA_000360485.1
,,,,,,,GCA__000360505.1,GCA_000360505.1,GCA_000360505.1,GCA_000360505.1
,,,,,,,GCA__000360525.1,GCA_000360525.1,GCA_000360525.1,GCA_000360525.1
,,,,,,,GCA__000360545.1,GCA_000360545.1,GCA_000360545.1,GCA_000360545.1
,,,,,,,GCA__000360565.1,GCA_000360565.1,GCA_000360565.1,GCA_000360565.1
,,,,,,,GCA__000360585.1,GCA_000360585.1,GCA_000360585.1,GCA_000360585.1
,,,,,,,GCA__000360605.1,GCA_000360605.1,GCA_000360605.1,GCA_000360605.1
,,,,,,,GCA__000360625.1,GCA_000360625.1,GCA_000360625.1,GCA_000360625.1
,,,,,,,GCA__000360645.1,GCA_000360645.1,GCA_000360645.1,GCA_000360645.1
,,,,,,,GCA__000360665.1,GCA_000360665.1,GCA_000360665.1,GCA_000360665.1
,,,,,,,GCA__000360685.1,GCA_000360685.1,GCA_000360685.1,GCA_000360685.1
,,,,,,,GCA__000360705.1,GCA_000360705.1,GCA_000360705.1,GCA_000360705.1
,,,,,,,GCA__000360725.1,GCA_000360725.1,GCA_000360725.1,GCA_000360725.1
,,,,,,,GCA__000360745.1,GCA_000360745.1,GCA_000360745.1,GCA_000360745.1
,,,,,,,GCA__000360765.1,GCA_000360765.1,GCA_000360765.1,GCA_000360765.1
,,,,,,,GCA__000360785.1,GCA_000360785.1,GCA_000360785.1,GCA_000360785.1
,,,,,,,GCA__000360805.1,GCA_000360805.1,GCA_000360805.1,GCA_000360805.1
,,,,,,,GCA__000360825.1,GCA_000360825.1,GCA_000360825.1,GCA_000360825.1
,,,,,,,GCA__000360845.1,GCA_000360845.1,GCA_000360845.1,GCA_000360845.1
,,,,,,,GCA__000360865.1,GCA_000360865.1,GCA_000360865.1,GCA_000360865.1
,,,,,,,GCA__000360885.1,GCA_000360885.1,GCA_000360885.1,GCA_000360885.1
,,,,,,,GCA__000360905.1,GCA_000360905.1,GCA_000360905.1,GCA_000360905.1
,,,,,,,GCA__000360925.1,GCA_000360925.1,GCA_000360925.1,GCA_000360925.1
,,,,,,,GCA__000360945.1,GCA_000360945.1,GCA_000360945.1,GCA_000360945.1
,,,,,,,GCA__000360965.1,GCA_000360965.1,GCA_000360965.1,GCA_000360965.1
,,,,,,,GCA__000360985.1,GCA_000360985.1,GCA_000360985.1,GCA_000360985.1
,,,,,,,GCA__000361005.1,GCA_000361005.1,GCA_000361005.1,GCA_000361005.1
,,,,,,,GCA__000361025.1,GCA_000361025.1,GCA_000361025.1,GCA_000361025.1
,,,,,,,GCA__000361045.1,GCA_000361045.1,GCA_000361045.1,GCA_000361045.1
,,,,,,,GCA__000361065.1,GCA_000361065.1,GCA_000361065.1,GCA_000361065.1
,,,,,,,GCA__000361085.1,GCA_000361085.1,GCA_000361085.1,GCA_000361085.1
,,,,,,,GCA__000361105.1,GCA_000361105.1,GCA_000361105.1,GCA_000361105.1
,,,,,,,GCA__000361125.1,GCA_000361125.1,GCA_000361125.1,GCA_000361125.1
,,,,,,,GCA__000361145.1,GCA_000361145.1,GCA_000361145.1,GCA_000361145.1
,,,,,,,GCA__000361165.1,GCA_000361165.1,GCA_000361165.1,GCA_000361165.1
,,,,,,,GCA__000361185.1,GCA_000361185.1,GCA_000361185.1,GCA_000361185.1
,,,,,,,GCA__000361205.1,GCA_000361205.1,GCA_000361205.1,GCA_000361205.1
,,,,,,,GCA__000361225.1,GCA_000361225.1,GCA_000361225.1,GCA_000361225.1
,,,,,,,GCA__000361245.1,GCA_000361245.1,GCA_000361245.1,GCA_000361245.1
,,,,,,,GCA__000361265.1,GCA_000361265.1,GCA_000361265.1,GCA_000361265.1
,,,,,,,GCA__000361285.1,GCA_000361285.1,GCA_000361285.1,GCA_000361285.1
,,,,,,,GCA__000361305.1,GCA_000361305.1,GCA_000361305.1,GCA_000361305.1
,,,,,,,GCA__000361325.1,GCA_000361325.1,GCA_000361325.1,GCA_000361325.1
,,,,,,,GCA__000361345.1,GCA_000361345.1,GCA_000361345.1,GCA_000361345.1
,,,,,,,GCA__000361365.1,GCA_000361365.1,GCA_000361365.1,GCA_000361365.1
,,,,,,,GCA__000361385.1,GCA_000361385.1,GCA_000361385.1,GCA_000361385.1
,,,,,,,GCA__000361405.1,GCA_000361405.1,GCA_000361405.1,GCA_000361405.1
,,,,,,,GCA__000361425.1,GCA_000361425.1,GCA_000361425.1,GCA_000361425.1
,,,,,,,GCA__000361445.1,GCA_000361445.1,GCA_000361445.1,GCA_000361445.1
,,,,,,,GCA__000361465.1,GCA_000361465.1,GCA_000361465.1,GCA_000361465.1
,,,,,,,GCA__000361485.1,GCA_000361485.1,GCA_000361485.1,GCA_000361485.1
,,,,,,,GCA__000361505.1,GCA_000361505.1,GCA_000361505.1,GCA_000361505.1
,,,,,,,GCA__000361545.1,GCA_000361545.1,GCA_000361545.1,GCA_000361545.1
,,,,,,,GCA__000361565.1,GCA_000361565.1,GCA_000361565.1,GCA_000361565.1
,,,,,,,GCA__000361585.1,GCA_000361585.1,GCA_000361585.1,GCA_000361585.1
,,,,,,,GCA__000361605.1,GCA_000361605.1,GCA_000361605.1,GCA_000361605.1
,,,,,,,GCA__000361625.1,GCA_000361625.1,GCA_000361625.1,GCA_000361625.1
,,,,,,,GCA__000361645.1,GCA_000361645.1,GCA_000361645.1,GCA_000361645.1
,,,,,,,GCA__000361665.1,GCA_000361665.1,GCA_000361665.1,GCA_000361665.1
,,,,,,,GCA__000361685.1,GCA_000361685.1,GCA_000361685.1,GCA_000361685.1
,,,,,,,GCA__000361705.1,GCA_000361705.1,GCA_000361705.1,GCA_000361705.1
,,,,,,,GCA__000361725.1,GCA_000361725.1,GCA_000361725.1,GCA_000361725.1
,,,,,,,GCA__000361745.1,GCA_000361745.1,GCA_000361745.1,GCA_000361745.1
,,,,,,,GCA__000361765.1,GCA_000361765.1,GCA_000361765.1,GCA_000361765.1
,,,,,,,GCA__000361785.1,GCA_000361785.1,GCA_000361785.1,GCA_000361785.1
,,,,,,,GCA__000361805.1,GCA_000361805.1,GCA_000361805.1,GCA_000361805.1
,,,,,,,GCA__000361825.1,GCA_000361825.1,GCA_000361825.1,GCA_000361825.1
,,,,,,,GCA__000361845.1,GCA_000361845.1,GCA_000361845.1,GCA_000361845.1
,,,,,,,GCA__000361865.1,GCA_000361865.1,GCA_000361865.1,GCA_000361865.1
,,,,,,,GCA__000361885.1,GCA_000361885.1,GCA_000361885.1,GCA_000361885.1
,,,,,,,GCA__000361905.1,GCA_000361905.1,GCA_000361905.1,GCA_000361905.1
,,,,,,,GCA__000361925.1,GCA_000361925.1,GCA_000361925.1,GCA_000361925.1
,,,,,,,GCA__000361945.1,GCA_000361945.1,GCA_000361945.1,GCA_000361945.1
,,,,,,,GCA__000361965.1,GCA_000361965.1,GCA_000361965.1,GCA_000361965.1
,,,,,,,GCA__000361985.1,GCA_000361985.1,GCA_000361985.1,GCA_000361985.1
,,,,,,,GCA__000362005.1,GCA_000362005.1,GCA_000362005.1,GCA_000362005.1
,,,,,,,GCA__000362025.1,GCA_000362025.1,GCA_000362025.1,GCA_000362025.1
,,,,,,,GCA__000362045.1,GCA_000362045.1,GCA_000362045.1,GCA_000362045.1
,,,,,,,GCA__000362065.1,GCA_000362065.1,GCA_000362065.1,GCA_000362065.1
,,,,,,,GCA__000362085.1,GCA_000362085.1,GCA_000362085.1,GCA_000362085.1
,,,,,,,GCA__000362105.1,GCA_000362105.1,GCA_000362105.1,GCA_000362105.1
,,,,,,,GCA__000362125.1,GCA_000362125.1,GCA_000362125.1,GCA_000362125.1
,,,,,,,GCA__000362165.1,GCA_000362165.1,GCA_000362165.1,GCA_000362165.1
,,,,,,,GCA__000362185.1,GCA_000362185.1,GCA_000362185.1,GCA_000362185.1
,,,,,,,GCA__000362205.1,GCA_000362205.1,GCA_000362205.1,GCA_000362205.1
,,,,,,,GCA__000362225.1,GCA_000362225.1,GCA_000362225.1,GCA_000362225.1
,,,,,,,GCA__000362245.1,GCA_000362245.1,GCA_000362245.1,GCA_000362245.1
,,,,,,,GCA__000362265.1,GCA_000362265.1,GCA_000362265.1,GCA_000362265.1
,,,,,,,GCA__000362285.1,GCA_000362285.1,GCA_000362285.1,GCA_000362285.1
,,,,,,,GCA__000362305.1,GCA_000362305.1,GCA_000362305.1,GCA_000362305.1
,,,,,,,GCA__000362325.1,GCA_000362325.1,GCA_000362325.1,GCA_000362325.1
,,,,,,,GCA__000362345.1,GCA_000362345.1,GCA_000362345.1,GCA_000362345.1
,,,,,,,GCA__000362365.1,GCA_000362365.1,GCA_000362365.1,GCA_000362365.1
,,,,,,,GCA__000362385.1,GCA_000362385.1,GCA_000362385.1,GCA_000362385.1
,,,,,,,GCA__000362405.1,GCA_000362405.1,GCA_000362405.1,GCA_000362405.1
,,,,,,,GCA__000362425.1,GCA_000362425.1,GCA_000362425.1,GCA_000362425.1
,,,,,,,GCA__000362445.1,GCA_000362445.1,GCA_000362445.1,GCA_000362445.1
,,,,,,,GCA__000362465.1,GCA_000362465.1,GCA_000362465.1,GCA_000362465.1
,,,,,,,GCA__000362485.1,GCA_000362485.1,GCA_000362485.1,GCA_000362485.1
,,,,,,,GCA__000362505.1,GCA_000362505.1,GCA_000362505.1,GCA_000362505.1
,,,,,,,GCA__000362525.1,GCA_000362525.1,GCA_000362525.1,GCA_000362525.1
,,,,,,,GCA__000362545.1,GCA_000362545.1,GCA_000362545.1,GCA_000362545.1
,,,,,,,GCA__000362565.1,GCA_000362565.1,GCA_000362565.1,GCA_000362565.1
,,,,,,,GCA__000362585.1,GCA_000362585.1,GCA_000362585.1,GCA_000362585.1
,,,,,,,GCA__000362605.1,GCA_000362605.1,GCA_000362605.1,GCA_000362605.1
,,,,,,,GCA__000362625.1,GCA_000362625.1,GCA_000362625.1,GCA_000362625.1
,,,,,,,GCA__000362645.1,GCA_000362645.1,GCA_000362645.1,GCA_000362645.1
,,,,,,,GCA__000362665.1,GCA_000362665.1,GCA_000362665.1,GCA_000362665.1
,,,,,,,GCA__000362685.1,GCA_000362685.1,GCA_000362685.1,GCA_000362685.1
,,,,,,,GCA__000362705.1,GCA_000362705.1,GCA_000362705.1,GCA_000362705.1
,,,,,,,GCA__000362725.1,GCA_000362725.1,GCA_000362725.1,GCA_000362725.1
,,,,,,,GCA__000362745.1,GCA_000362745.1,GCA_000362745.1,GCA_000362745.1
,,,,,,,GCA__000362765.1,GCA_000362765.1,GCA_000362765.1,GCA_000362765.1
,,,,,,,GCA__000362785.1,GCA_000362785.1,GCA_000362785.1,GCA_000362785.1
,,,,,,,GCA__000362805.1,GCA_000362805.1,GCA_000362805.1,GCA_000362805.1
,,,,,,,GCA__000362825.1,GCA_000362825.1,GCA_000362825.1,GCA_000362825.1
,,,,,,,GCA__000362845.1,GCA_000362845.1,GCA_000362845.1,GCA_000362845.1
,,,,,,,GCA__000362865.1,GCA_000362865.1,GCA_000362865.1,GCA_000362865.1
,,,,,,,GCA__000362885.1,GCA_000362885.1,GCA_000362885.1,GCA_000362885.1
,,,,,,,GCA__000362905.1,GCA_000362905.1,GCA_000362905.1,GCA_000362905.1
,,,,,,,GCA__000362925.1,GCA_000362925.1,GCA_000362925.1,GCA_000362925.1
,,,,,,,GCA__000362945.1,GCA_000362945.1,GCA_000362945.1,GCA_000362945.1
,,,,,,,GCA__000362965.1,GCA_000362965.1,GCA_000362965.1,GCA_000362965.1
,,,,,,,GCA__000362985.1,GCA_000362985.1,GCA_000362985.1,GCA_000362985.1
,,,,,,,GCA__000363005.1,GCA_000363005.1,GCA_000363005.1,GCA_000363005.1
,,,,,,,GCA__000363025.1,GCA_000363025.1,GCA_000363025.1,GCA_000363025.1
,,,,,,,GCA__000363045.1,GCA_000363045.1,GCA_000363045.1,GCA_000363045.1
,,,,,,,GCA__000363065.1,GCA_000363065.1,GCA_000363065.1,GCA_000363065.1
,,,,,,,GCA__000363085.1,GCA_000363085.1,GCA_000363085.1,GCA_000363085.1
,,,,,,,GCA__000363105.1,GCA_000363105.1,GCA_000363105.1,GCA_000363105.1
,,,,,,,GCA__000363125.1,GCA_000363125.1,GCA_000363125.1,GCA_000363125.1
,,,,,,,GCA__000363145.1,GCA_000363145.1,GCA_000363145.1,GCA_000363145.1
,,,,,,,GCA__000363165.1,GCA_000363165.1,GCA_000363165.1,GCA_000363165.1
,,,,,,,GCA__000363185.1,GCA_000363185.1,GCA_000363185.1,GCA_000363185.1
,,,,,,,GCA__000363205.1,GCA_000363205.1,GCA_000363205.1,GCA_000363205.1
,,,,,,,GCA__000363225.1,GCA_000363225.1,GCA_000363225.1,GCA_000363225.1
,,,,,,,GCA__000363245.1,GCA_000363245.1,GCA_000363245.1,GCA_000363245.1
,,,,,,,GCA__000363265.1,GCA_000363265.1,GCA_000363265.1,GCA_000363265.1
,,,,,,,GCA__000363285.1,GCA_000363285.1,GCA_000363285.1,GCA_000363285.1
,,,,,,,GCA__000363305.1,GCA_000363305.1,GCA_000363305.1,GCA_000363305.1
,,,,,,,GCA__000363325.1,GCA_000363325.1,GCA_000363325.1,GCA_000363325.1
,,,,,,,GCA__000363345.1,GCA_000363345.1,GCA_000363345.1,GCA_000363345.1
,,,,,,,GCA__000363365.1,GCA_000363365.1,GCA_000363365.1,GCA_000363365.1
,,,,,,,GCA__000363385.1,GCA_000363385.1,GCA_000363385.1,GCA_000363385.1
,,,,,,,GCA__000363405.1,GCA_000363405.1,GCA_000363405.1,GCA_000363405.1
,,,,,,,GCA__000363425.1,GCA_000363425.1,GCA_000363425.1,GCA_000363425.1
,,,,,,,GCA__000363445.1,GCA_000363445.1,GCA_000363445.1,GCA_000363445.1
,,,,,,,GCA__000363465.1,GCA_000363465.1,GCA_000363465.1,GCA_000363465.1
,,,,,,,GCA__000363485.1,GCA_000363485.1,GCA_000363485.1,GCA_000363485.1
,,,,,,,GCA__000363505.1,GCA_000363505.1,GCA_000363505.1,GCA_000363505.1
,,,,,,,GCA__000363525.1,GCA_000363525.1,GCA_000363525.1,GCA_000363525.1
,,,,,,,GCA__000363545.1,GCA_000363545.1,GCA_000363545.1,GCA_000363545.1
,,,,,,,GCA__000363565.1,GCA_000363565.1,GCA_000363565.1,GCA_000363565.1
,,,,,,,GCA__000363585.1,GCA_000363585.1,GCA_000363585.1,GCA_000363585.1
,,,,,,,GCA__000363605.1,GCA_000363605.1,GCA_000363605.1,GCA_000363605.1
,,,,,,,GCA__000363625.1,GCA_000363625.1,GCA_000363625.1,GCA_000363625.1
,,,,,,,GCA__000363645.1,GCA_000363645.1,GCA_000363645.1,GCA_000363645.1
,,,,,,,GCA__000363665.1,GCA_000363665.1,GCA_000363665.1,GCA_000363665.1
,,,,,,,GCA__000363685.1,GCA_000363685.1,GCA_000363685.1,GCA_000363685.1
,,,,,,,GCA__000363705.1,GCA_000363705.1,GCA_000363705.1,GCA_000363705.1
,,,,,,,GCA__000363725.1,GCA_000363725.1,GCA_000363725.1,GCA_000363725.1
,,,,,,,GCA__000363745.1,GCA_000363745.1,GCA_000363745.1,GCA_000363745.1
,,,,,,,,GCA_000363765.1,GCA_000363765.1,GCA_000363765.1
,,,,,,,,GCA_000363785.1,GCA_000363785.1,GCA_000363785.1
,,,,,,,,GCA_000363805.1,GCA_000363805.1,GCA_000363805.1
,,,,,,,,GCA_000363825.1,GCA_000363825.1,GCA_000363825.1
,,,,,,,,GCA_000363845.1,GCA_000363845.1,GCA_000363845.1
,,,,,,,,GCA_000363865.1,GCA_000363865.1,GCA_000363865.1
,,,,,,,,GCA_000364005.1,GCA_000364005.1,GCA_000364005.1
,,,,,,,,GCA_000364025.1,GCA_000364025.1,GCA_000364025.1
,,,,,,,,GCA_000364045.1,GCA_000364045.1,GCA_000364045.1
,,,,,,,,GCA_000364065.1,GCA_000364065.1,GCA_000364065.1
,,,,,,,,GCA_000364085.1,GCA_000364085.1,GCA_000364085.1
,,,,,,,,GCA_000364105.1,GCA_000364105.1,GCA_000364105.1
,,,,,,,,GCA_000364125.1,GCA_000364125.1,GCA_000364125.1
,,,,,,,,GCA_000364145.1,GCA_000364145.1,GCA_000364145.1
,,,,,,,,GCA_000364465.1,GCA_000364465.1,GCA_000364465.1
,,,,,,,,GCA_000364485.1,GCA_000364485.1,GCA_000364485.1
,,,,,,,,GCA_000364505.1,GCA_000364505.1,GCA_000364505.1
,,,,,,,,GCA_000364525.1,GCA_000364525.1,GCA_000364525.1
,,,,,,,,GCA_000367745.1,GCA_000367745.1,GCA_000367745.1
,,,,,,,,GCA_000382965.1,GCA_000382965.1,GCA_000382965.1
,,,,,,,,GCA_000382985.1,GCA_000382985.1,GCA_000382985.1
,,,,,,,,GCA_000383005.1,GCA_000383005.1,GCA_000383005.1
,,,,,,,,GCA_000390205.1,GCA_000390205.1,GCA_000390205.1
,,,,,,,,GCA_000401435.1,GCA_000401435.1,GCA_000401435.1
,,,,,,,,GCA_000401455.1,GCA_000401455.1,GCA_000401455.1
,,,,,,,,GCA_000401475.1,GCA_000401475.1,GCA_000401475.1
,,,,,,,,GCA_000401575.1,GCA_000401575.1,GCA_000401575.1
,,,,,,,,GCA_000401595.1,GCA_000401595.1,GCA_000401595.1
,,,,,,,,GCA_000403115.1,GCA_000403115.1,GCA_000403115.1
,,,,,,,,GCA_000403685.1,GCA_000403685.1,GCA_000403685.1
,,,,,,,,GCA_000409145.1,GCA_000409145.1,GCA_000409145.1
,,,,,,,,GCA_000409165.1,GCA_000409165.1,GCA_000409165.1
,,,,,,,,GCA_000412775.1,GCA_000412775.1,GCA_000412775.1
,,,,,,,,GCA_000418345.1,GCA_000418345.1,GCA_000418345.1
,,,,,,,,GCA_000421995.1,GCA_000421995.1,GCA_000421995.1
,,,,,,,,GCA_000439835.1,GCA_000439835.1,GCA_000439835.1
,,,,,,,,GCA_000442355.1,GCA_000442355.1,GCA_000442355.1
,,,,,,,,GCA_000443125.1,GCA_000443125.1,GCA_000443125.1
,,,,,,,,GCA_000443245.1,GCA_000443245.1,GCA_000443245.1
,,,,,,,,GCA_000443265.1,GCA_000443265.1,GCA_000443265.1
,,,,,,,,GCA_000443285.1,GCA_000443285.1,GCA_000443285.1
,,,,,,,,GCA_000452385.2,GCA_000452385.2,GCA_000452385.2
,,,,,,,,GCA_000452885.1,GCA_000452885.1,GCA_000452885.1
,,,,,,,,GCA_000455725.2,GCA_000455725.2,GCA_000455725.2
,,,,,,,,GCA_000462955.1,GCA_000462955.1,GCA_000462955.1
,,,,,,,,GCA_000463035.1,GCA_000463035.1,GCA_000463035.1
,,,,,,,,GCA_000463055.1,GCA_000463055.1,GCA_000463055.1
,,,,,,,,GCA_000470845.1,GCA_000470845.1,GCA_000470845.1
,,,,,,,,GCA_000470865.1,GCA_000470865.1,GCA_000470865.1
,,,,,,,,GCA_000485885.1,GCA_000485885.1,GCA_000485885.1
,,,,,,,,GCA_000496095.1,GCA_000496095.1,GCA_000496095.1
,,,,,,,,GCA_000507705.1,GCA_000507705.1,GCA_000507705.1
,,,,,,,,GCA_000507725.1,GCA_000507725.1,GCA_000507725.1
,,,,,,,,GCA_000512505.1,GCA_000512505.1,GCA_000512505.1
,,,,,,,,GCA_000512525.1,GCA_000512525.1,GCA_000512525.1
,,,,,,,,GCA_000512545.1,GCA_000512545.1,GCA_000512545.1
,,,,,,,,GCA_000516935.1,GCA_000516935.1,GCA_000516935.1
,,,,,,,,GCA_000525105.1,GCA_000525105.1,GCA_000525105.1
,,,,,,,,GCA_000525125.1,GCA_000525125.1,GCA_000525125.1
,,,,,,,,GCA_000525145.1,GCA_000525145.1,GCA_000525145.1
,,,,,,,,GCA_000525165.1,GCA_000525165.1,GCA_000525165.1
,,,,,,,,GCA_000525185.1,GCA_000525185.1,GCA_000525185.1
,,,,,,,,GCA_000525205.1,GCA_000525205.1,GCA_000525205.1
,,,,,,,,GCA_000525225.1,GCA_000525225.1,GCA_000525225.1
,,,,,,,,GCA_000525245.1,GCA_000525245.1,GCA_000525245.1
,,,,,,,,GCA_000525265.1,GCA_000525265.1,GCA_000525265.1
,,,,,,,,GCA_000525285.1,GCA_000525285.1,GCA_000525285.1
,,,,,,,,GCA_000525305.1,GCA_000525305.1,GCA_000525305.1
,,,,,,,,GCA_000525325.1,GCA_000525325.1,GCA_000525325.1
,,,,,,,,GCA_000525345.1,GCA_000525345.1,GCA_000525345.1
,,,,,,,,GCA_000525365.1,GCA_000525365.1,GCA_000525365.1
,,,,,,,,GCA_000525385.1,GCA_000525385.1,GCA_000525385.1
,,,,,,,,GCA_000525405.1,GCA_000525405.1,GCA_000525405.1
,,,,,,,,GCA_000525425.1,GCA_000525425.1,GCA_000525425.1
,,,,,,,,GCA_000525445.1,GCA_000525445.1,GCA_000525445.1
,,,,,,,,GCA_000525465.1,GCA_000525465.1,GCA_000525465.1
,,,,,,,,GCA_000525485.1,GCA_000525485.1,GCA_000525485.1
,,,,,,,,GCA_000525505.1,GCA_000525505.1,GCA_000525505.1
,,,,,,,,GCA_000525525.1,GCA_000525525.1,GCA_000525525.1
,,,,,,,,GCA_000525545.1,GCA_000525545.1,GCA_000525545.1
,,,,,,,,GCA_000525565.1,GCA_000525565.1,GCA_000525565.1
,,,,,,,,GCA_000527355.1,GCA_000527355.1,GCA_000527355.1
,,,,,,,,GCA_000527375.1,GCA_000527375.1,GCA_000527375.1
,,,,,,,,GCA_000527395.1,GCA_000527395.1,GCA_000527395.1
,,,,,,,,GCA_000527415.1,GCA_000527415.1,GCA_000527415.1
,,,,,,,,GCA_000527435.1,GCA_000527435.1,GCA_000527435.1
